10000		20760.084729		149599550917.983276
20000		20760.256609		149598796796.229401
30000		20760.515640		149597737633.115295
40000		20760.861822		149596373426.361267
50000		20761.295156		149594704173.031097
60000		20761.815644		149592729869.531952
70000		20762.423284		149590450511.614380
80000		20763.118080		149587866094.372467
90000		20763.900032		149584976612.243530
100000		20764.769142		149581782059.008240
110000		20765.725410		149578282427.790680
120000		20766.768840		149574477711.058167
130000		20767.899432		149570367900.621368
140000		20769.117189		149565952987.633972
150000		20770.422112		149561232962.593140
160000		20771.814205		149556207815.338959
170000		20773.293470		149550877535.054718
180000		20774.859909		149545242110.266937
190000		20776.513526		149539301528.844849
200000		20778.254323		149533055778.000946
210000		20780.082304		149526504844.290466
220000		20781.997471		149519648713.611603
230000		20783.999829		149512487371.205322
240000		20786.089380		149505020801.655334
250000		20788.266130		149497248988.888184
260000		20790.530081		149489171916.172821
270000		20792.881238		149480789566.120941
280000		20795.319605		149472101920.686584
290000		20797.845188		149463108961.166321
300000		20800.457989		149453810668.199066
310000		20803.158015		149444207021.765869
320000		20805.945271		149434298001.190063
330000		20808.819761		149424083585.137177
340000		20811.781490		149413563751.614502
350000		20814.830465		149402738477.971527
360000		20817.966691		149391607740.899414
370000		20821.190174		149380171516.431183
380000		20824.500921		149368429779.941376
390000		20827.898936		149356382506.146240
400000		20831.384227		149344029669.103302
410000		20834.956801		149331371242.211639
420000		20838.616664		149318407198.211487
430000		20842.363822		149305137509.184204
440000		20846.198285		149291562146.552216
450000		20850.120057		149277681081.078857
460000		20854.129149		149263494282.868256
470000		20858.225566		149249001721.365265
480000		20862.409317		149234203365.355347
490000		20866.680410		149219099182.964325
500000		20871.038853		149203689141.658386
510000		20875.484656		149187973208.243958
520000		20880.017826		149171951348.867554
530000		20884.638372		149155623529.015625
540000		20889.346305		149138989713.514374
550000		20894.141632		149122049866.529785
560000		20899.024364		149104803951.567352
570000		20903.994511		149087251931.471985
580000		20909.052081		149069393768.427826
590000		20914.197087		149051229423.958191
600000		20919.429537		149032758858.925385
610000		20924.749443		149013982033.530487
620000		20930.156815		148994898907.313385
630000		20935.651665		148975509439.152374
640000		20941.234004		148955813587.264221
650000		20946.903842		148935811309.203949
660000		20952.661193		148915502561.864532
670000		20958.506068		148894887301.477051
680000		20964.438479		148873965483.610168
690000		20970.458438		148852737063.170319
700000		20976.565959		148831201994.401184
710000		20982.761054		148809360230.883881
720000		20989.043736		148787211725.536560
730000		20995.414020		148764756430.614288
740000		21001.871917		148741994297.709045
750000		21008.417443		148718925277.749146
760000		21015.050611		148695549320.999603
770000		21021.771436		148671866377.061493
780000		21028.579933		148647876394.872070
790000		21035.476116		148623579322.704407
800000		21042.460000		148598975108.167419
810000		21049.531602		148574063698.205383
820000		21056.690936		148548845039.098083
830000		21063.938020		148523319076.460388
840000		21071.272868		148497485755.242157
850000		21078.695497		148471345019.728149
860000		21086.205925		148444896813.537598
870000		21093.804169		148418141079.624298
880000		21101.490245		148391077760.276154
890000		21109.264172		148363706797.115265
900000		21117.125967		148336028131.097443
910000		21125.075649		148308041702.512238
920000		21133.113236		148279747450.982697
930000		21141.238747		148251145315.465088
940000		21149.452201		148222235234.248749
950000		21157.753618		148193017144.956024
960000		21166.143018		148163490984.541748
970000		21174.620419		148133656689.293427
980000		21183.185844		148103514194.830841
990000		21191.839312		148073063436.105682
1000000		21200.580845		148042304347.401794
1010000		21209.410464		148011236862.334534
1020000		21218.328191		147979860913.850800
1030000		21227.334047		147948176434.228790
1040000		21236.428055		147916183355.077820
1050000		21245.610238		147883881607.338074
1060000		21254.880618		147851271121.280365
1070000		21264.239220		147818351826.506104
1080000		21273.686066		147785123651.946869
1090000		21283.221182		147751586525.864410
1100000		21292.844590		147717740375.850220
1110000		21302.556317		147683585128.825714
1120000		21312.356387		147649120711.041473
1130000		21322.244826		147614347048.077515
1140000		21332.221659		147579264064.842926
1150000		21342.286913		147543871685.575562
1160000		21352.440615		147508169833.842072
1170000		21362.682791		147472158432.537384
1180000		21373.013469		147435837403.884857
1190000		21383.432677		147399206669.435822
1200000		21393.940443		147362266150.069427
1210000		21404.536796		147325015765.992554
1220000		21415.221764		147287455436.739410
1230000		21425.995377		147249585081.171631
1240000		21436.857665		147211404617.477753
1250000		21447.808658		147172913963.173279
1260000		21458.848386		147134113035.100281
1270000		21469.976881		147095001749.427429
1280000		21481.194174		147055580021.649536
1290000		21492.500297		147015847766.587585
1300000		21503.895282		146975804898.388397
1310000		21515.379163		146935451330.524475
1320000		21526.951972		146894786975.793854
1330000		21538.613743		146853811746.319946
1340000		21550.364510		146812525553.551208
1350000		21562.204307		146770928308.261139
1360000		21574.133171		146729019920.547943
1370000		21586.151136		146686800299.834412
1380000		21598.258237		146644269354.867767
1390000		21610.454513		146601426993.719482
1400000		21622.739999		146558273123.785034
1410000		21635.114733		146514807651.783813
1420000		21647.578753		146471030483.758911
1430000		21660.132097		146426941525.077057
1440000		21672.774804		146382540680.428223
1450000		21685.506913		146337827853.825653
1460000		21698.328465		146292802948.605652
1470000		21711.239499		146247465867.427399
1480000		21724.240057		146201816512.272827
1490000		21737.330180		146155854784.446503
1500000		21750.509910		146109580584.575409
1510000		21763.779289		146062993812.608734
1520000		21777.138360		146016094367.817902
1530000		21790.587167		145968882148.796417
1540000		21804.125754		145921357053.459503
1550000		21817.754165		145873518979.044250
1560000		21831.472446		145825367822.109253
1570000		21845.280643		145776903478.534698
1580000		21859.178801		145728125843.522095
1590000		21873.166968		145679034811.594177
1600000		21887.245190		145629630276.594879
1610000		21901.413517		145579912131.689056
